date,thread_url,thread_id,content,username,user_id,user_url,comment_id,forum
2022-11-30,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, Ik ga voor het eerst bestellen. Heb ervaring met verschillende illegale drugs.   Nu zoek ik een vervanger voor mdma en miauw miauw (vgm is dit 4mmc).  Is 4F-MPH vervanger voor mdma  En de 3cmc voor de poes ?   ,indewarre.nl,157185,https://drugsforum.nl/members/indewarre-nl.157185/,1805361,drugsforum
2022-11-30,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, 4fmph is niet voor party dat zou ik alleen functioneel gebruiken en 3cmc vind ik pure troep krijg altijd hoofdpijn door die variant dan liever 5mapb met 2fa om het couchlock tegen te gaan (al zou ik het eerst proberen met 5mapb alleen)   ,gekkemanlol,142770,https://drugsforum.nl/members/gekkemanlol.142770/,1805363,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, Thnx 5map verkopen ze niet op de site waarnaar ik verwezen ben. Wel snow daar al wat van gehoord ?   ,indewarre.nl,157185,https://drugsforum.nl/members/indewarre-nl.157185/,1805404,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, sites ga ik je niet vertellen maar er zijn zat sites te vinden voor deze legale rc's daar heb je het darkweb niet voor nodig   ,gekkemanlol,142770,https://drugsforum.nl/members/gekkemanlol.142770/,1805405,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, 3-CMC is niet voor de poes hoor.   ,FredKroket,147428,https://drugsforum.nl/members/fredkroket.147428/,1805451,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388,"    Nu je het zegt, catnip was ook wel een leuke naam geweest ipv miauw miauw.   ",Anunnaki,143367,https://drugsforum.nl/members/anunnaki.143367/,1805453,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388,    Ik heb ook katachtige reacties als ik aan 3-CMC snuffel.   ,FredKroket,147428,https://drugsforum.nl/members/fredkroket.147428/,1805455,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388,    Ga je dan ook mooi voor me op de grond liggen en heel lief om aandacht vragen?🥰   ,Anunnaki,143367,https://drugsforum.nl/members/anunnaki.143367/,1805460,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, Zit niet zo te katten   ,Fisherman's friend,155530,https://drugsforum.nl/members/fishermans-friend.155530/,1805472,drugsforum
2022-12-01,https://drugsforum.nl/threads/4f-mph-of-3-cmc.73388/,73388, Het zijn wel twee heel verschillende stimulanten. Pas op met 4F-MPH dat spul is super potent. Ik heb wel eens door de dag heen eyeballed lijntjes gesnoven en dat was al vrij snel niet leuk meer. Doe niet zo dom als ik. Weeg het netjes af en houd rekening met de half life.   ,dupont,61674,https://drugsforum.nl/members/dupont.61674/,1805578,drugsforum
