views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,6.875032905486863e-10,0.0,-4.0628609637924916e-13,0.0,-3.290811194467682e-07
0,0,0,2008-02-01,0.0,6.786352731171904e-10,0.0,-3.974502823543613e-13,0.0,-3.11761109473851e-07
0,0,0,2008-03-01,0.0,6.697672556856945e-10,0.0,-3.886144683294734e-13,0.0,-2.9444109950093385e-07
0,0,0,2008-04-01,0.0,6.608992382541986e-10,0.0,-3.7977865430458556e-13,0.0,-2.771210895280167e-07
0,0,0,2008-05-01,0.0,6.520312208227027e-10,0.0,-3.709428402796977e-13,0.0,-2.5980107955509953e-07
0,0,0,2008-06-01,0.0,6.431632033912068e-10,0.0,-3.621070262548098e-13,0.0,-2.4248106958218237e-07
0,0,0,2008-07-01,0.0,6.342951859597109e-10,0.0,-3.5327121222992196e-13,0.0,-2.251610596092652e-07
0,0,0,2008-08-01,0.0,6.25427168528215e-10,0.0,-3.444353982050341e-13,0.0,-2.0784104963634804e-07
0,0,0,2008-09-01,0.0,6.165591510967191e-10,0.0,-3.355995841801462e-13,0.0,-1.9052103966343088e-07
0,0,0,2008-10-01,0.0,6.076911336652232e-10,0.0,-3.2676377015525836e-13,0.0,-1.7320102969051372e-07
0,0,0,2008-11-01,0.0,5.988231162337273e-10,0.0,-3.179279561303705e-13,0.0,-1.5588101971759655e-07
0,0,0,2008-12-01,0.0,5.899550988022314e-10,0.0,-3.090921421054826e-13,0.0,-1.385610097446794e-07
0,0,0,2009-01-01,0.0,5.810870813707355e-10,0.0,-3.0025632808059476e-13,0.0,-1.2124099977176223e-07
0,0,0,2009-02-01,0.0,5.722190639392396e-10,0.0,-2.914205140557069e-13,0.0,-1.0392098979884507e-07
0,0,0,2009-03-01,0.0,5.633510465077437e-10,0.0,-2.82584700030819e-13,0.0,-8.66009798259279e-08
0,0,0,2009-04-01,0.0,5.544830290762478e-10,0.0,-2.7374888600593115e-13,0.0,-6.928096985301074e-08
0,0,0,2009-05-01,0.0,5.456150116447519e-10,0.0,-2.649130719810433e-13,0.0,-5.196095988009358e-08
0,0,0,2009-06-01,0.0,5.36746994213256e-10,0.0,-2.560772579561554e-13,0.0,-3.4640949907176415e-08
0,0,0,2009-07-01,0.0,5.278789767817601e-10,0.0,-2.4724144393126755e-13,0.0,-1.7320939934259252e-08
0,0,0,2009-08-01,0.0,5.190109593502642e-10,0.0,-2.384056299063797e-13,0.0,-9.29961342089939e-13
0,0,0,2009-09-01,0.0,5.101429419187683e-10,0.0,-2.295698158814918e-13,0.0,1.7319080011575073e-08
0,0,0,2009-10-01,0.0,5.012749244872724e-10,0.0,-2.2073400185660395e-13,0.0,3.4639089984492235e-08
0,0,0,2009-11-01,0.0,4.924069070557765e-10,0.0,-2.1189818783171609e-13,0.0,5.19590999574094e-08
0,0,0,2009-12-01,0.0,4.835388896242806e-10,0.0,-2.0306237380682822e-13,0.0,6.927910993032656e-08
0,0,0,2010-01-01,0.0,4.746708721927847e-10,0.0,-1.9422655978194035e-13,0.0,8.659911990324372e-08
0,0,0,2010-02-01,0.0,4.658028547612888e-10,0.0,-1.8539074575705249e-13,0.0,1.0391912987616089e-07
0,0,0,2010-03-01,0.0,4.569348373297929e-10,0.0,-1.7655493173216462e-13,0.0,1.2123913984907805e-07
0,0,0,2010-04-01,0.0,4.48066819898297e-10,0.0,-1.6771911770727675e-13,0.0,1.385591498219952e-07
0,0,0,2010-05-01,0.0,4.391988024668011e-10,0.0,-1.5888330368238888e-13,0.0,1.5587915979491237e-07
0,0,0,2010-06-01,0.0,4.303307850353052e-10,0.0,-1.5004748965750102e-13,0.0,1.7319916976782954e-07
